model,epoch,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_loss,loss,train_loss,grad_norm,eval_runtime,train_runtime
deberta-v2-xlarge,7.0,0.9937502433705853,0.969386899270318,0.9662263835479017,0.9725681588690677,0.04388970509171486,0.0072,,0.003506314940750599,14.2259,
deberta-v2-xlarge,8.0,0.9935944861960204,0.9659453111893976,0.962876254180602,0.9690339952877819,0.042996134608983994,0.0039,,0.39662232995033264,13.6351,
deberta-v2-xlarge,9.0,0.9941785756006386,0.9677040516735173,0.9647098176952668,0.9707169303264894,0.03899841755628586,0.0032,,0.07715033739805222,13.6877,
deberta-v2-xlarge,10.0,0.9944706203029477,0.9706030572820427,0.9688128772635815,0.972399865365197,0.04315999150276184,0.0038,0.026346911656286286,0.01762472838163376,13.649,1973.6692
deberta-v2-xxlarge,1.0,0.9908492659943149,0.9466186206318612,0.942747454515106,0.9505217098619994,0.03916756063699722,0.1262,,1.2727996110916138,26.2199,
deberta-v2-xxlarge,2.0,0.8361823916514154,0.051133622768933906,0.5740072202166066,0.026758667115449344,0.9069812297821045,0.0708,,7.796411991119385,26.136,
deberta-v2-xxlarge,3.0,0.9868579883960905,0.935668517727467,0.9501995488460871,0.9215752271962302,0.05277068540453911,0.0675,,0.3489156663417816,25.6683,
deberta-v2-xxlarge,4.0,0.8491881157275807,0.1770581113801453,0.8783783783783784,0.0984516997643891,0.815925657749176,0.0937,,5.351005554199219,26.3438,
deberta-v2-xxlarge,5.0,0.8325026284023208,0.0,0.0,0.0,0.910582959651947,0.6495,,2.0437188148498535,26.0878,
deberta-v2-xxlarge,6.0,0.8325026284023208,0.0,0.0,0.0,0.9130168557167053,0.7741,,0.7669923305511475,26.1318,
deberta-v2-xxlarge,7.0,0.8325026284023208,0.0,0.0,0.0,0.9143485426902771,0.7611,,1.0806233882904053,26.1072,
deberta-v2-xxlarge,8.0,0.8325026284023208,0.0,0.0,0.0,0.9089771509170532,0.753,,1.5926471948623657,26.2984,
deberta-v2-xxlarge,9.0,0.8325026284023208,0.0,0.0,0.0,0.9267259836196899,0.7524,,1.0944768190383911,26.1314,
deberta-v2-xxlarge,10.0,0.8325026284023208,0.0,0.0,0.0,0.9158569574356079,0.7497,0.47979922414097537,1.1402643918991089,26.1394,3831.5033
deberta-v3-base,1.0,0.9900704801214906,0.9402549787517708,0.9311767618418881,0.9495119488387749,0.041136231273412704,0.1602,,0.35110074281692505,8.0406,
deberta-v3-base,2.0,0.9919395662162689,0.9508032128514056,0.9454242928452579,0.9562436889936049,0.03596775606274605,0.0325,,1.0365431308746338,8.0847,
deberta-v3-base,3.0,0.9925041859740664,0.9546787299991624,0.9504587155963303,0.9589363850555369,0.0338076613843441,0.0209,,0.7342411279678345,7.5344,
deberta-v3-base,4.0,0.9928157003231961,0.9576356329537843,0.9528490503165612,0.9624705486368226,0.037761762738227844,0.0138,,1.7863619327545166,8.0994,
deberta-v3-base,5.0,0.9928157003231961,0.9580127132820341,0.9522780179580977,0.9638168966677886,0.03781048208475113,0.0104,,1.1160740852355957,8.0547,
deberta-v3-base,6.0,0.9932635022000701,0.9612416107382551,0.9583472733355637,0.9641534836755301,0.039928387850522995,0.0081,,1.1636013984680176,7.5311,
deberta-v3-base,7.0,0.9932440325532494,0.9609453570231311,0.9570951585976628,0.9648266576910132,0.04103163629770279,0.0063,,0.011814103461802006,7.5233,
deberta-v3-base,8.0,0.9930103967914022,0.960107050263444,0.9542809642560266,0.9660047122181084,0.041641272604465485,0.0053,,0.2728910744190216,8.2763,
deberta-v3-base,9.0,0.9929325182041198,0.9601740294511378,0.9547420965058236,0.9656681252103669,0.04729270562529564,0.0046,,0.3780207931995392,7.712,
deberta-v3-base,10.0,0.9931661539659671,0.9619574325456678,0.9579439252336449,0.9660047122181084,0.04590565711259842,0.0036,0.026568818825524053,0.13725635409355164,7.5253,977.0658
deberta-v3-large,1.0,0.9909660838752385,0.9482845188284519,0.9430758988015979,0.9535509929316729,0.03672267124056816,0.1205,,0.8164419531822205,13.7977,
deberta-v3-large,2.0,0.9917059304544216,0.9513685444044531,0.9463780183180682,0.9564119824974756,0.03679489344358444,0.024,,0.8355640172958374,14.3001,
deberta-v3-large,3.0,0.9932245629064289,0.9618512618428775,0.9583959899749374,0.9653315382026254,0.032243452966213226,0.0153,,0.604324996471405,14.0703,
deberta-v3-large,4.0,0.9933219111405319,0.960374519311152,0.9541528239202658,0.9666778862335914,0.034836649894714355,0.0096,,1.0299445390701294,13.4413,
deberta-v3-large,5.0,0.9928157003231961,0.9607316663869777,0.9579986613119144,0.9634803096600472,0.048233047127723694,0.0072,,1.458970546722412,13.4695,
deberta-v3-large,6.0,0.9930103967914022,0.9620316821724918,0.9582568041409251,0.9658364187142376,0.042305316776037216,0.006,,0.17545410990715027,13.4505,
deberta-v3-large,7.0,0.9931661539659671,0.9628012427575783,0.9607843137254902,0.9648266576910132,0.05079077184200287,0.0031,,0.019299747422337532,14.0035,
deberta-v3-large,8.0,0.9930298664382228,0.9613231977278422,0.9543871288770941,0.9683608212722989,0.0441218838095665,0.0033,,0.18156899511814117,14.0202,
deberta-v3-large,9.0,0.9938670612515089,0.9658291457286433,0.9613204401467156,0.9703803433187479,0.04331131651997566,0.0027,,0.033566948026418686,13.473,
deberta-v3-large,10.0,0.9925431252677076,0.9593836362113727,0.9548258043007168,0.9639851901716594,0.054090023040771484,0.0036,0.01951421083784864,0.08456400781869888,14.0111,1865.025
